# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.001 --equilibrate 0 --production 1000 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.001.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
219,0.219,production,-507.2460742,85.25129875,-421.9947754,0.5311607399,-1.321469201
220,0.22,production,-507.1775883,85.18284344,-421.9947449,0.530734227,-1.319596255
221,0.221,production,-507.123288,85.12856489,-421.9947231,0.530396043,-1.318142291
222,0.222,production,-507.0835182,85.08880774,-421.9947105,0.5301483348,-1.317118846
223,0.223,production,-507.0584776,85.06377035,-421.9947072,0.5299923386,-1.316533995
224,0.224,production,-507.048215,85.05350146,-421.9947135,0.529928358,-1.316391711
225,0.225,production,-507.0526282,85.05789909,-421.9947291,0.5299557576,-1.316689863
226,0.226,production,-507.0714663,85.0767126,-421.9947537,0.5300729757,-1.31742119
227,0.227,production,-507.1043335,85.1095465,-421.994787,0.5302775483,-1.31857619
228,0.228,production,-507.1506947,85.15586615,-421.9948285,0.5305661442,-1.320138573
229,0.229,production,-507.2098838,85.21500624,-421.9948775,0.5309346183,-1.322088362
230,0.23,production,-507.281114,85.28618063,-421.9949333,0.5313780724,-1.32440303
231,0.231,production,-507.3634885,85.36849336,-421.9949951,0.5318909244,-1.327057043
232,0.232,production,-507.4560135,85.46095169,-421.9950618,0.5324669887,-1.330022112
233,0.233,production,-507.5576134,85.56248085,-421.9951326,0.5330995691,-1.333266346
234,0.234,production,-507.6671454,85.6719391,-421.9952063,0.533781552,-1.336754595
235,0.235,production,-507.7834151,85.7881332,-421.9952819,0.5345055028,-1.340451197
236,0.236,production,-507.9051929,85.90983433,-421.9953586,0.5352637653,-1.344320748
237,0.237,production,-508.0312287,86.03579355,-421.9954351,0.536048558,-1.348327352
238,0.238,production,-508.1602677,86.16475688,-421.9955108,0.5368520678,-1.352432343
239,0.239,production,-508.2910637,86.29547899,-421.9955847,0.5376665358,-1.356598556
240,0.24,production,-508.422393,86.42673694,-421.9956561,0.5384843423,-1.360788345
241,0.241,production,-508.5530669,86.55734268,-421.9957242,0.5392980852,-1.364966111
242,0.242,production,-508.6819416,86.68615299,-421.9957886,0.5401006417,-1.369098645
243,0.243,production,-508.8079275,86.81207857,-421.9958489,0.5408852247,-1.373151301
244,0.244,production,-508.9299964,86.93409181,-421.9959046,0.5416454318,-1.377090613
245,0.245,production,-509.0471882,87.05123261,-421.9959555,0.5423752811,-1.380886817
246,0.246,production,-509.1586141,87.16261269,-421.9960015,0.5430692379,-1.384513496
247,0.247,production,-509.2634612,87.26741879,-421.9960424,0.5437222355,-1.387945655
248,0.248,production,-509.3609934,87.36491511,-421.9960783,0.5443296892,-1.391159534
249,0.249,production,-509.4505529,87.4544437,-421.9961092,0.5448874997,-1.394132691
250,0.25,production,-509.5315588,87.53542346,-421.9961354,0.5453920465,-1.396844196
251,0.251,production,-509.6035056,87.60734869,-421.9961569,0.5458401788,-1.399278451
252,0.252,production,-509.6659609,87.66978682,-421.9961741,0.5462292014,-1.401422624
253,0.253,production,-509.7185627,87.72237554,-421.9961871,0.5465568569,-1.403262405
254,0.254,production,-509.7610167,87.76482038,-421.9961963,0.5468213108,-1.404788372
255,0.255,production,-509.7930928,87.79689091,-421.9962019,0.5470211271,-1.405990348
256,0.256,production,-509.8146211,87.81841703,-421.9962041,0.5471552463,-1.406860256
257,0.257,production,-509.8254891,87.82928597,-421.9962031,0.5472229656,-1.407394251
258,0.258,production,-509.825638,87.82943882,-421.9961992,0.5472239179,-1.407591995
259,0.259,production,-509.8150599,87.81886715,-421.9961927,0.5471580508,-1.407451055
260,0.26,production,-509.793794,87.79761039,-421.9961836,0.5470256099,-1.406970432
261,0.261,production,-509.7619257,87.76575364,-421.996172,0.5468271255,-1.406151516
262,0.262,production,-509.7195837,87.72342553,-421.9961582,0.546563399,-1.404996152
263,0.263,production,-509.6669385,87.67079626,-421.9961422,0.5462354907,-1.40350776
264,0.264,production,-509.6042004,87.60807629,-421.9961241,0.5458447121,-1.401690902
265,0.265,production,-509.5316192,87.5355155,-421.9961037,0.5453926199,-1.399553687
266,0.266,production,-509.4494842,87.45340296,-421.9960813,0.5448810153,-1.397103036
267,0.267,production,-509.3581233,87.36206676,-421.9960566,0.5443119424,-1.394348503
268,0.268,production,-509.2579033,87.26187368,-421.9960296,0.5436876865,-1.391302191
269,0.269,production,-509.14923,87.15322938,-421.9960006,0.5430107749,-1.387974075
270,0.27,production,-509.0325467,87.03657739,-421.9959693,0.5422839713,-1.384375035
271,0.271,production,-508.9083346,86.91239863,-421.9959359,0.5415102719,-1.380518686
272,0.272,production,-508.7771116,86.78121125,-421.9959004,0.540692905,-1.376419772
273,0.273,production,-508.6394326,86.64356987,-421.9958627,0.5398353263,-1.372094932
274,0.274,production,-508.4958871,86.50006399,-421.9958231,0.5389412087,-1.367561738
275,0.275,production,-508.3470978,86.35131644,-421.9957814,0.5380144326,-1.362839733
276,0.276,production,-508.193719,86.19798082,-421.9957382,0.5370590705,-1.357946664
277,0.277,production,-508.0364309,86.04073734,-421.9956936,0.5360793604,-1.352899992
