# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.002 --equilibrate 0 --production 500 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.002.csv
# git_sha: 29c88d5
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
250,0.5,production,-500.573948,78.5783257,-421.9956223,0.4895845838,-1.033698537
251,0.502,production,-500.4420784,78.44655312,-421.9955253,0.4887635708,-1.028407559
252,0.504,production,-500.3172997,78.32184956,-421.9954501,0.4879866016,-1.02333049
253,0.506,production,-500.2015638,78.20617007,-421.9953937,0.4872658572,-1.018545504
254,0.508,production,-500.0965742,78.10122225,-421.995352,0.4866119766,-1.014121507
255,0.51,production,-500.0038393,78.00851967,-421.9953196,0.4860343905,-1.010129248
256,0.512,production,-499.9247449,77.92945566,-421.9952893,0.4855417798,-1.006630186
257,0.514,production,-499.8606483,77.8653937,-421.9952546,0.4851426399,-1.00368043
258,0.516,production,-499.8129662,77.81775715,-421.9952091,0.4848458389,-1.001340865
259,0.518,production,-499.783259,77.78811154,-421.9951475,0.4846611311,-0.9996730602
260,0.52,production,-499.7732931,77.77822617,-421.9950669,0.48459954,-0.9987511285
261,0.522,production,-499.7850743,77.7901076,-421.9949667,0.4846735676,-0.9986463853
262,0.524,production,-499.8208419,77.82599148,-421.9948504,0.4848971432,-0.9994337912
263,0.526,production,-499.8830062,77.88828199,-421.9947242,0.4852852461,-1.00118475
264,0.528,production,-499.9740433,77.97944581,-421.9945975,0.4858532449,-1.003980709
265,0.53,production,-500.0963536,78.10187328,-421.9944804,0.4866160329,-1.007886469
266,0.532,production,-500.2520963,78.25771135,-421.994385,0.4875869866,-1.012962584
267,0.534,production,-500.4430008,78.44867676,-421.994324,0.4887768023,-1.01925631
268,0.536,production,-500.6701794,78.67587141,-421.994308,0.4901923453,-1.026793629
269,0.538,production,-500.9339613,78.93961464,-421.9943467,0.4918356053,-1.035579615
270,0.54,production,-501.23375,79.23930411,-421.9944459,0.4937028293,-1.045589132
271,0.542,production,-501.5679299,79.57332067,-421.9946092,0.4957839294,-1.056754245
272,0.544,production,-501.933818,79.93898125,-421.9948368,0.4980621885,-1.06898619
273,0.546,production,-502.3276653,80.33253976,-421.9951255,0.5005142664,-1.082161145
274,0.548,production,-502.7447103,80.74924124,-421.995469,0.5031105373,-1.096123719
275,0.55,production,-503.1792843,81.18342606,-421.9958582,0.5058157387,-1.110700474
276,0.552,production,-503.6249535,81.62867196,-421.9962816,0.5085898564,-1.12568772
